django,Total Videos,Average Video Views,Average Video Rating,Average Video Duration,Total Views,Total Duration,Least Video View Count,Least Rated Video,Oldest Video Publish Date,Oldest Video Uploaded Date,Shortest Video Duration,Most Video View Count,Most Rated Video,Recent Video Publish Date,Recent Video Uploaded Date,Longest Video Duration
Python Tutorials,17,330.0 K,5.0,0:34:57,5.6 M,9:54:04,79.1 K,5.0,2018-08-31,2018-08-31,0:09:00,1.4 M,5.0,2019-02-19,2019-02-19,1:22:01
Python Tutorial for Beginners (Full Course),9,292.4 K,4.9,0:09:43,2.6 M,1:27:24,57.5 K,4.8,2019-04-26,2019-04-26,0:03:51,589.4 K,4.9,2020-02-21,2020-02-21,0:17:07
